Episode 380: Seed=762817; Reward = 526; Floor=11
Episode 381: Seed=345679; Reward = 141; Floor=3
Episode 382: Seed=659643; Reward = 113; Floor=3
Episode 383: Seed=610484; Reward = 328; Floor=8
Episode 384: Seed=989193; Reward = 396; Floor=9
Episode 385: Seed=103489; Reward = 602; Floor=13
Episode 386: Seed=683998; Reward = 434; Floor=9
Episode 387: Seed=846950; Reward = 101; Floor=3
Episode 388: Seed=777766; Reward = 436; Floor=11
Episode 389: Seed=799266; Reward = 207; Floor=5
Episode 390: Seed=904169; Reward = 72; Floor=2
Episode 391: Seed=195473; Reward = 141; Floor=4
Episode 392: Seed=858992; Reward = 186; Floor=4
Episode 393: Seed=16723; Reward = 70; Floor=2
Episode 394: Seed=927804; Reward = 116; Floor=3
Episode 395: Seed=482997; Reward = 454; Floor=11
Episode 396: Seed=731220; Reward = 342; Floor=8
Episode 397: Seed=781363; Reward = 353; Floor=9
Episode 398: Seed=133298; Reward = 188; Floor=4
Episode 399: Seed=461005; Reward = 73; Floor=3
Episode 400: Seed=344880; Reward = -33; Floor=1
Episode 401: Seed=462719; Reward = -28; Floor=1
Episode 402: Seed=398923; Reward = 17; Floor=2
Episode 403: Seed=999670; Reward = 24; Floor=1
Episode 404: Seed=265634; Reward = -16; Floor=1
Episode 405: Seed=941989; Reward = -29; Floor=1
Episode 406: Seed=732704; Reward = -20; Floor=1
Episode 407: Seed=721254; Reward = 159; Floor=4
Episode 408: Seed=763101; Reward = 295; Floor=7
Episode 409: Seed=803375; Reward = 119; Floor=3
Episode 410: Seed=839792; Reward = -10; Floor=1
Episode 411: Seed=799236; Reward = 117; Floor=3
Episode 412: Seed=675102; Reward = 64; Floor=2
Episode 413: Seed=149328; Reward = 280; Floor=6
Episode 414: Seed=550904; Reward = 329; Floor=7
Episode 415: Seed=34518; Reward = 73; Floor=2
Episode 416: Seed=103115; Reward = 134; Floor=3
Episode 417: Seed=367032; Reward = 308; Floor=7
Episode 418: Seed=182310; Reward = 124; Floor=3
Episode 419: Seed=523199; Reward = 27; Floor=1
Episode 420: Seed=449511; Reward = 102; Floor=3
