Episode 211: Seed=433122; Reward = 151; Floor=4
Episode 212: Seed=913358; Reward = 156; Floor=5
Episode 213: Seed=933905; Reward = 299; Floor=9
Episode 214: Seed=602128; Reward = 152; Floor=5
Episode 215: Seed=275702; Reward = -23; Floor=1
Episode 216: Seed=179188; Reward = 200; Floor=5
Episode 217: Seed=803163; Reward = 465; Floor=12
Episode 218: Seed=837864; Reward = 381; Floor=9
Episode 219: Seed=717936; Reward = 168; Floor=5
Episode 220: Seed=924121; Reward = 347; Floor=10
Episode 221: Seed=841072; Reward = 185; Floor=6
Episode 222: Seed=652182; Reward = 231; Floor=7
Episode 223: Seed=429133; Reward = 250; Floor=7
Episode 224: Seed=789135; Reward = 257; Floor=8
Episode 225: Seed=79090; Reward = 70; Floor=4
Episode 226: Seed=548866; Reward = 285; Floor=8
Episode 227: Seed=607680; Reward = 200; Floor=5
Episode 228: Seed=575790; Reward = 307; Floor=9
Episode 229: Seed=924816; Reward = 310; Floor=8
Episode 230: Seed=403151; Reward = 59; Floor=3
Episode 231: Seed=240173; Reward = 227; Floor=7
Episode 232: Seed=320310; Reward = 396; Floor=10
Episode 233: Seed=606716; Reward = 196; Floor=6
Episode 234: Seed=626853; Reward = 104; Floor=3
Episode 235: Seed=409986; Reward = 217; Floor=6
Episode 236: Seed=727380; Reward = 294; Floor=9
Episode 237: Seed=664873; Reward = 58; Floor=3
Episode 238: Seed=520154; Reward = 228; Floor=8
Episode 239: Seed=41626; Reward = 204; Floor=6
Episode 240: Seed=312816; Reward = 265; Floor=8
Episode 241: Seed=568298; Reward = 90; Floor=4
Episode 242: Seed=616948; Reward = 406; Floor=12
Episode 243: Seed=790524; Reward = 189; Floor=6
Episode 244: Seed=664950; Reward = 452; Floor=13
Episode 245: Seed=435280; Reward = 197; Floor=6
Episode 246: Seed=868654; Reward = 274; Floor=8
Episode 247: Seed=375920; Reward = 228; Floor=8
Episode 248: Seed=140185; Reward = 97; Floor=4
Episode 249: Seed=555808; Reward = 166; Floor=4
Episode 250: Seed=824732; Reward = 219; Floor=6
Episode 251: Seed=974716; Reward = 414; Floor=11
Episode 252: Seed=540918; Reward = -30; Floor=1
Episode 253: Seed=359849; Reward = 225; Floor=6
Episode 254: Seed=137070; Reward = 182; Floor=5
Episode 255: Seed=520294; Reward = 290; Floor=8
Episode 256: Seed=172152; Reward = 336; Floor=9
Episode 257: Seed=730757; Reward = 200; Floor=5
Episode 258: Seed=722560; Reward = 224; Floor=6
Episode 259: Seed=581605; Reward = 75; Floor=3
Episode 260: Seed=892136; Reward = 50; Floor=3
Episode 261: Seed=302507; Reward = 53; Floor=2
Episode 262: Seed=707348; Reward = 197; Floor=6
Episode 263: Seed=340868; Reward = 98; Floor=3
Episode 264: Seed=109062; Reward = -9; Floor=2
Episode 265: Seed=757083; Reward = 241; Floor=7
Episode 266: Seed=332597; Reward = 423; Floor=11
Episode 267: Seed=13942; Reward = -33; Floor=1
Episode 268: Seed=929925; Reward = 193; Floor=6
Episode 269: Seed=854513; Reward = 695; Floor=17
Episode 270: Seed=213002; Reward = 204; Floor=5
Episode 271: Seed=19240; Reward = 297; Floor=8
Episode 272: Seed=560331; Reward = 213; Floor=6
Episode 273: Seed=43109; Reward = -5; Floor=1
Episode 274: Seed=603190; Reward = 334; Floor=9
Episode 275: Seed=289976; Reward = 182; Floor=6
Episode 276: Seed=102924; Reward = 168; Floor=4
Episode 277: Seed=649500; Reward = 180; Floor=5
Episode 278: Seed=715268; Reward = 232; Floor=7
Episode 279: Seed=941903; Reward = 96; Floor=3
Episode 280: Seed=496653; Reward = 172; Floor=5
Episode 281: Seed=393192; Reward = 102; Floor=3
Episode 282: Seed=476023; Reward = 88; Floor=3
Episode 283: Seed=782899; Reward = 193; Floor=5
Episode 284: Seed=431726; Reward = 159; Floor=5
Episode 285: Seed=649175; Reward = 428; Floor=12
Episode 286: Seed=126400; Reward = 257; Floor=7
Episode 287: Seed=460564; Reward = 135; Floor=5
Episode 288: Seed=135228; Reward = 12; Floor=2
Episode 289: Seed=877148; Reward = 81; Floor=3
Episode 290: Seed=587806; Reward = 197; Floor=6
Episode 291: Seed=687791; Reward = 210; Floor=5
Episode 292: Seed=919626; Reward = 258; Floor=7
Episode 293: Seed=766914; Reward = 238; Floor=6
Episode 294: Seed=279564; Reward = 148; Floor=5
Episode 295: Seed=371959; Reward = 290; Floor=9
Episode 296: Seed=981375; Reward = 67; Floor=4
Episode 297: Seed=729324; Reward = 126; Floor=4
Episode 298: Seed=884634; Reward = 116; Floor=4
Episode 299: Seed=291478; Reward = 216; Floor=6
Episode 300: Seed=620848; Reward = 413; Floor=11
Episode 301: Seed=628954; Reward = 246; Floor=7
Episode 302: Seed=886237; Reward = 38; Floor=3
Episode 303: Seed=211888; Reward = 279; Floor=7
Episode 304: Seed=632977; Reward = 178; Floor=6
Episode 305: Seed=293895; Reward = 54; Floor=2
Episode 306: Seed=19214; Reward = 16; Floor=2
Episode 307: Seed=71562; Reward = 78; Floor=4
Episode 308: Seed=21501; Reward = 76; Floor=3
Episode 309: Seed=482585; Reward = 274; Floor=8
Episode 310: Seed=813633; Reward = 186; Floor=5
Episode 311: Seed=321224; Reward = 179; Floor=5
Episode 312: Seed=591856; Reward = 326; Floor=9
Episode 313: Seed=279700; Reward = 271; Floor=7
Episode 314: Seed=408557; Reward = 348; Floor=9
Episode 315: Seed=86248; Reward = 126; Floor=4
Episode 316: Seed=773592; Reward = 133; Floor=4
Episode 317: Seed=844998; Reward = 84; Floor=4
Episode 318: Seed=945992; Reward = 298; Floor=8
Episode 319: Seed=996780; Reward = 179; Floor=5
Episode 320: Seed=550908; Reward = 254; Floor=7
Episode 321: Seed=995384; Reward = 316; Floor=9
Episode 322: Seed=279696; Reward = 277; Floor=8
Episode 323: Seed=519858; Reward = 207; Floor=6
Episode 324: Seed=134003; Reward = 207; Floor=6
Episode 325: Seed=880472; Reward = 145; Floor=4
Episode 326: Seed=331511; Reward = -36; Floor=1
Episode 327: Seed=953543; Reward = 256; Floor=6
Episode 328: Seed=683964; Reward = 212; Floor=6
Episode 329: Seed=809336; Reward = 161; Floor=5
Episode 330: Seed=421150; Reward = 14; Floor=2
Episode 331: Seed=441836; Reward = 199; Floor=5
Episode 332: Seed=692755; Reward = 519; Floor=14
Episode 333: Seed=481180; Reward = 335; Floor=9
Episode 334: Seed=260158; Reward = -34; Floor=1
Episode 335: Seed=123939; Reward = 260; Floor=7
Episode 336: Seed=384004; Reward = 125; Floor=4
Episode 337: Seed=795409; Reward = 325; Floor=9
Episode 338: Seed=377451; Reward = 349; Floor=9
Episode 339: Seed=412907; Reward = 300; Floor=7
Episode 340: Seed=201467; Reward = 164; Floor=6
Episode 341: Seed=277295; Reward = -27; Floor=1
Episode 342: Seed=829095; Reward = 290; Floor=8
Episode 343: Seed=767109; Reward = 134; Floor=4
Episode 344: Seed=806737; Reward = 211; Floor=5
Episode 345: Seed=493366; Reward = -5; Floor=2
Episode 346: Seed=96526; Reward = 346; Floor=9
Episode 347: Seed=336225; Reward = 174; Floor=5
Episode 348: Seed=640073; Reward = 63; Floor=3
Episode 349: Seed=610215; Reward = 254; Floor=6
Episode 350: Seed=810637; Reward = 174; Floor=6
Episode 351: Seed=248273; Reward = 178; Floor=6
Episode 352: Seed=974390; Reward = 142; Floor=4
Episode 353: Seed=417735; Reward = 286; Floor=8
Episode 354: Seed=294107; Reward = 288; Floor=7
Episode 355: Seed=576830; Reward = 138; Floor=4
Episode 356: Seed=494554; Reward = 154; Floor=4
Episode 357: Seed=997255; Reward = 248; Floor=7
Episode 358: Seed=348591; Reward = 283; Floor=7
Episode 359: Seed=568427; Reward = 359; Floor=10
Episode 360: Seed=828300; Reward = 203; Floor=6
Episode 361: Seed=546232; Reward = -19; Floor=1
Episode 362: Seed=602640; Reward = -16; Floor=1
Episode 363: Seed=700729; Reward = 306; Floor=8
Episode 364: Seed=98296; Reward = 179; Floor=5
Episode 365: Seed=246073; Reward = 183; Floor=5
Episode 366: Seed=296400; Reward = 143; Floor=4
Episode 367: Seed=896894; Reward = 163; Floor=5
Episode 368: Seed=467609; Reward = 137; Floor=5
Episode 369: Seed=47601; Reward = 188; Floor=5
