Episode 226: Seed=14185; Reward = 371; Floor=9
Episode 227: Seed=209091; Reward = 173; Floor=4
Episode 228: Seed=454060; Reward = 194; Floor=4
Episode 229: Seed=134590; Reward = 256; Floor=6
Episode 230: Seed=410816; Reward = 196; Floor=4
Episode 231: Seed=640552; Reward = 103; Floor=3
Episode 232: Seed=890488; Reward = 278; Floor=7
Episode 233: Seed=994980; Reward = 95; Floor=3
Episode 234: Seed=209721; Reward = -31; Floor=1
Episode 235: Seed=894041; Reward = 40; Floor=2
Episode 236: Seed=538336; Reward = 46; Floor=2
Episode 237: Seed=592000; Reward = 118; Floor=3
Episode 238: Seed=251791; Reward = 190; Floor=4
Episode 239: Seed=448684; Reward = 332; Floor=7
Episode 240: Seed=988087; Reward = -8; Floor=1
Episode 241: Seed=830111; Reward = 321; Floor=7
Episode 242: Seed=979202; Reward = 160; Floor=4
Episode 243: Seed=534423; Reward = 59; Floor=3
Episode 244: Seed=180982; Reward = 60; Floor=2
Episode 245: Seed=602527; Reward = 24; Floor=1
Episode 246: Seed=2749; Reward = -23; Floor=1
Episode 247: Seed=883146; Reward = 14; Floor=2
Episode 248: Seed=702792; Reward = 156; Floor=4
Episode 249: Seed=436922; Reward = -21; Floor=1
Episode 250: Seed=834346; Reward = 24; Floor=1
Episode 251: Seed=853703; Reward = -6; Floor=1
Episode 252: Seed=472851; Reward = 233; Floor=5
Episode 253: Seed=164329; Reward = 133; Floor=3
Episode 254: Seed=89362; Reward = 262; Floor=6
Episode 255: Seed=219879; Reward = 164; Floor=4
Episode 256: Seed=492583; Reward = 127; Floor=3
Episode 257: Seed=12801; Reward = 365; Floor=7
Episode 258: Seed=457908; Reward = 298; Floor=7
Episode 259: Seed=218041; Reward = 87; Floor=2
Episode 260: Seed=515377; Reward = 546; Floor=13
Episode 261: Seed=751002; Reward = 165; Floor=4
Episode 262: Seed=799070; Reward = 394; Floor=9
Episode 263: Seed=579313; Reward = 91; Floor=3
Episode 264: Seed=199094; Reward = 72; Floor=3
Episode 265: Seed=285938; Reward = 239; Floor=5
Episode 266: Seed=656932; Reward = 286; Floor=7
Episode 267: Seed=454505; Reward = 275; Floor=7
Episode 268: Seed=590041; Reward = 123; Floor=3
Episode 269: Seed=136206; Reward = 165; Floor=4
Episode 270: Seed=367847; Reward = 246; Floor=6
Episode 271: Seed=920984; Reward = 278; Floor=6
Episode 272: Seed=493935; Reward = 292; Floor=6
Episode 273: Seed=746335; Reward = 188; Floor=6
Episode 274: Seed=661298; Reward = 38; Floor=2
Episode 275: Seed=150719; Reward = 75; Floor=3
Episode 276: Seed=833175; Reward = 125; Floor=3
Episode 277: Seed=770154; Reward = 272; Floor=6
Episode 278: Seed=11593; Reward = 246; Floor=6
Episode 279: Seed=535391; Reward = 240; Floor=6
Episode 280: Seed=623800; Reward = 37; Floor=2
Episode 281: Seed=630060; Reward = 362; Floor=8
Episode 282: Seed=712331; Reward = 101; Floor=3
Episode 283: Seed=484803; Reward = 370; Floor=9
Episode 284: Seed=732195; Reward = -41; Floor=1
Episode 285: Seed=548183; Reward = 76; Floor=2
Episode 286: Seed=931987; Reward = 82; Floor=2
Episode 287: Seed=549122; Reward = 445; Floor=10
Episode 288: Seed=633153; Reward = 664; Floor=14
Episode 289: Seed=932833; Reward = 525; Floor=12
Episode 290: Seed=895958; Reward = 663; Floor=15
Episode 291: Seed=59578; Reward = 439; Floor=9
Episode 292: Seed=839889; Reward = 184; Floor=5
Episode 293: Seed=369183; Reward = 175; Floor=4
Episode 294: Seed=895125; Reward = 454; Floor=10
Episode 295: Seed=224439; Reward = 30; Floor=1
Episode 296: Seed=22963; Reward = 30; Floor=1
Episode 297: Seed=157215; Reward = 189; Floor=5
Episode 298: Seed=457770; Reward = -3; Floor=1
Episode 299: Seed=675744; Reward = -19; Floor=1
Episode 300: Seed=238305; Reward = 248; Floor=6
Episode 301: Seed=272544; Reward = 174; Floor=4
Episode 302: Seed=561133; Reward = 212; Floor=5
Episode 303: Seed=864179; Reward = 232; Floor=5
Episode 304: Seed=405451; Reward = 190; Floor=5
Episode 305: Seed=981350; Reward = 179; Floor=4
Episode 306: Seed=452614; Reward = 262; Floor=6
Episode 307: Seed=642766; Reward = 287; Floor=7
Episode 308: Seed=138585; Reward = 264; Floor=7
Episode 309: Seed=222002; Reward = -19; Floor=1
Episode 310: Seed=442330; Reward = -36; Floor=1
Episode 311: Seed=265111; Reward = 192; Floor=5
Episode 312: Seed=634287; Reward = 258; Floor=6
Episode 313: Seed=254556; Reward = 249; Floor=5
Episode 314: Seed=175714; Reward = 82; Floor=2
Episode 315: Seed=900968; Reward = 24; Floor=1
Episode 316: Seed=948653; Reward = 191; Floor=4
Episode 317: Seed=80733; Reward = 135; Floor=3
Episode 318: Seed=917574; Reward = 270; Floor=6
Episode 319: Seed=664530; Reward = 60; Floor=2
Episode 320: Seed=602549; Reward = 110; Floor=3
Episode 321: Seed=373159; Reward = 220; Floor=6
Episode 322: Seed=175241; Reward = 36; Floor=1
Episode 323: Seed=669036; Reward = 165; Floor=4
Episode 324: Seed=501913; Reward = 474; Floor=10
Episode 325: Seed=82555; Reward = 171; Floor=4
Episode 326: Seed=391583; Reward = 164; Floor=4
Episode 327: Seed=810603; Reward = 422; Floor=10
Episode 328: Seed=385962; Reward = -19; Floor=1
Episode 329: Seed=841082; Reward = -38; Floor=1
Episode 330: Seed=60550; Reward = -31; Floor=1
Episode 331: Seed=647395; Reward = -41; Floor=1
Episode 332: Seed=153359; Reward = -41; Floor=1
Episode 333: Seed=84442; Reward = -41; Floor=1
Episode 334: Seed=857910; Reward = -41; Floor=1
Episode 335: Seed=812818; Reward = -41; Floor=1
Episode 336: Seed=993576; Reward = -41; Floor=1
Episode 337: Seed=635647; Reward = -35; Floor=1
Episode 338: Seed=762961; Reward = -41; Floor=1
Episode 339: Seed=568820; Reward = -41; Floor=1
Episode 340: Seed=559708; Reward = -41; Floor=1
Episode 341: Seed=648692; Reward = -34; Floor=1
Episode 342: Seed=505237; Reward = -34; Floor=1
Episode 343: Seed=693043; Reward = -37; Floor=1
Episode 344: Seed=188911; Reward = -41; Floor=1
Episode 345: Seed=693741; Reward = -41; Floor=1
Episode 346: Seed=254813; Reward = -41; Floor=1
Episode 347: Seed=833664; Reward = -34; Floor=1
Episode 348: Seed=702314; Reward = 295; Floor=7
Episode 349: Seed=266809; Reward = 153; Floor=4
Episode 350: Seed=367187; Reward = 231; Floor=5
Episode 351: Seed=378162; Reward = 98; Floor=3
Episode 352: Seed=728000; Reward = 155; Floor=4
Episode 353: Seed=898958; Reward = 554; Floor=12
Episode 354: Seed=516092; Reward = 64; Floor=2
Episode 355: Seed=705333; Reward = 183; Floor=5
Episode 356: Seed=36891; Reward = 67; Floor=2
Episode 357: Seed=575043; Reward = 99; Floor=3
Episode 358: Seed=710775; Reward = 375; Floor=8
Episode 359: Seed=364364; Reward = 77; Floor=2
Episode 360: Seed=715495; Reward = 154; Floor=4
Episode 361: Seed=115350; Reward = 203; Floor=5
Episode 362: Seed=792524; Reward = 130; Floor=3
Episode 363: Seed=796141; Reward = 131; Floor=3
Episode 364: Seed=395821; Reward = 151; Floor=4
Episode 365: Seed=85497; Reward = 304; Floor=7
Episode 366: Seed=174005; Reward = 113; Floor=3
Episode 367: Seed=247792; Reward = 74; Floor=2
Episode 368: Seed=960323; Reward = 237; Floor=6
Episode 369: Seed=298455; Reward = 220; Floor=5
Episode 370: Seed=244215; Reward = 188; Floor=4
Episode 371: Seed=858422; Reward = 112; Floor=3
Episode 372: Seed=33650; Reward = 318; Floor=7
Episode 373: Seed=938032; Reward = 33; Floor=1
Episode 374: Seed=24296; Reward = 76; Floor=2
Episode 375: Seed=34699; Reward = 224; Floor=6
Episode 376: Seed=328691; Reward = 169; Floor=4
Episode 377: Seed=401852; Reward = 24; Floor=1
Episode 378: Seed=671388; Reward = 503; Floor=12
Episode 379: Seed=446506; Reward = 332; Floor=8
Episode 380: Seed=444959; Reward = 189; Floor=4
Episode 381: Seed=983645; Reward = 291; Floor=7
Episode 382: Seed=344068; Reward = -6; Floor=1
Episode 383: Seed=684365; Reward = -8; Floor=1
Episode 384: Seed=63836; Reward = 388; Floor=8
Episode 385: Seed=713099; Reward = 355; Floor=8
Episode 386: Seed=575632; Reward = 529; Floor=12
Episode 387: Seed=471188; Reward = 82; Floor=2
Episode 388: Seed=958477; Reward = 302; Floor=7
Episode 389: Seed=202730; Reward = 253; Floor=6
Episode 390: Seed=896125; Reward = 142; Floor=4
Episode 391: Seed=364953; Reward = 149; Floor=4
Episode 392: Seed=95014; Reward = 268; Floor=7
Episode 393: Seed=447846; Reward = 59; Floor=2
Episode 394: Seed=675854; Reward = 260; Floor=6
Episode 395: Seed=941569; Reward = 338; Floor=7
Episode 396: Seed=515918; Reward = 449; Floor=10
Episode 397: Seed=49027; Reward = 194; Floor=4
Episode 398: Seed=373054; Reward = 79; Floor=2
Episode 399: Seed=110734; Reward = 135; Floor=3
Episode 400: Seed=197; Reward = 185; Floor=4
Episode 401: Seed=635056; Reward = 89; Floor=2
Episode 402: Seed=543153; Reward = 103; Floor=3
Episode 403: Seed=75409; Reward = 116; Floor=3
Episode 404: Seed=90588; Reward = 199; Floor=5
Episode 405: Seed=849667; Reward = 165; Floor=4
Episode 406: Seed=52521; Reward = -5; Floor=1
Episode 407: Seed=933912; Reward = 135; Floor=5
Episode 408: Seed=657388; Reward = 399; Floor=9
Episode 409: Seed=276698; Reward = 520; Floor=12
Episode 410: Seed=795003; Reward = 31; Floor=1
Episode 411: Seed=243804; Reward = 113; Floor=3
Episode 412: Seed=619764; Reward = 194; Floor=5
Episode 413: Seed=791195; Reward = 192; Floor=5
Episode 414: Seed=58866; Reward = 290; Floor=8
Episode 415: Seed=99682; Reward = 63; Floor=2
Episode 416: Seed=938791; Reward = -12; Floor=1
Episode 417: Seed=305424; Reward = -3; Floor=1
Episode 418: Seed=64146; Reward = 186; Floor=4
Episode 419: Seed=229062; Reward = 176; Floor=4
Episode 420: Seed=422347; Reward = 227; Floor=5
Episode 421: Seed=921344; Reward = 165; Floor=4
Episode 422: Seed=572848; Reward = 59; Floor=2
Episode 423: Seed=883140; Reward = 62; Floor=2
Episode 424: Seed=101932; Reward = 161; Floor=4
Episode 425: Seed=655585; Reward = 201; Floor=5
Episode 426: Seed=991574; Reward = 387; Floor=8
Episode 427: Seed=308880; Reward = 283; Floor=6
Episode 428: Seed=511661; Reward = 69; Floor=2
Episode 429: Seed=462525; Reward = 411; Floor=10
Episode 430: Seed=283190; Reward = 266; Floor=6
Episode 431: Seed=633775; Reward = 106; Floor=3
Episode 432: Seed=362202; Reward = 383; Floor=9
Episode 433: Seed=528307; Reward = 70; Floor=2
Episode 434: Seed=781234; Reward = 337; Floor=8
Episode 435: Seed=592554; Reward = 186; Floor=5
Episode 436: Seed=27548; Reward = 95; Floor=3
Episode 437: Seed=688785; Reward = 438; Floor=11
Episode 438: Seed=530941; Reward = 75; Floor=2
Episode 439: Seed=635152; Reward = 157; Floor=4
Episode 440: Seed=337302; Reward = 365; Floor=8
Episode 441: Seed=946236; Reward = 127; Floor=3
Episode 442: Seed=889158; Reward = 226; Floor=5
Episode 443: Seed=370783; Reward = 409; Floor=10
Episode 444: Seed=570560; Reward = 171; Floor=5
Episode 445: Seed=522078; Reward = 106; Floor=3
Episode 446: Seed=100979; Reward = 353; Floor=8
Episode 447: Seed=138905; Reward = 208; Floor=5
Episode 448: Seed=171289; Reward = 307; Floor=7
Episode 449: Seed=930080; Reward = 24; Floor=1
Episode 450: Seed=453065; Reward = 70; Floor=2
Episode 451: Seed=174897; Reward = 98; Floor=3
Episode 452: Seed=608411; Reward = 133; Floor=3
Episode 453: Seed=187117; Reward = 121; Floor=3
Episode 454: Seed=755637; Reward = 257; Floor=7
Episode 455: Seed=514627; Reward = 33; Floor=1
Episode 456: Seed=628418; Reward = -41; Floor=1
Episode 457: Seed=345871; Reward = 127; Floor=5
Episode 458: Seed=158292; Reward = 105; Floor=4
Episode 459: Seed=743021; Reward = 27; Floor=1
Episode 460: Seed=990316; Reward = 55; Floor=2
Episode 461: Seed=681311; Reward = -13; Floor=1
Episode 462: Seed=35687; Reward = 3; Floor=2
Episode 463: Seed=1424; Reward = 33; Floor=1
Episode 464: Seed=785868; Reward = 399; Floor=9
Episode 465: Seed=987013; Reward = 30; Floor=1
Episode 466: Seed=204101; Reward = 145; Floor=4
Episode 467: Seed=283668; Reward = 209; Floor=5
Episode 468: Seed=428429; Reward = 147; Floor=4
Episode 469: Seed=617472; Reward = 71; Floor=2
Episode 470: Seed=636829; Reward = 326; Floor=7
Episode 471: Seed=274484; Reward = 206; Floor=5
Episode 472: Seed=322568; Reward = 204; Floor=5
Episode 473: Seed=488044; Reward = 191; Floor=5
Episode 474: Seed=875198; Reward = 252; Floor=6
Episode 475: Seed=371125; Reward = 159; Floor=4
Episode 476: Seed=122806; Reward = 155; Floor=4
Episode 477: Seed=791110; Reward = 325; Floor=8
Episode 478: Seed=56681; Reward = 138; Floor=4
Episode 479: Seed=364599; Reward = 33; Floor=1
Episode 480: Seed=693035; Reward = 380; Floor=9
Episode 481: Seed=64013; Reward = 79; Floor=3
Episode 482: Seed=411766; Reward = -24; Floor=1
Episode 483: Seed=433395; Reward = 9; Floor=2
Episode 484: Seed=154631; Reward = -17; Floor=1
Episode 485: Seed=236117; Reward = 91; Floor=3
Episode 486: Seed=664707; Reward = 1; Floor=1
Episode 487: Seed=221805; Reward = 5; Floor=2
Episode 488: Seed=394032; Reward = 39; Floor=3
Episode 489: Seed=459168; Reward = 160; Floor=4
Episode 490: Seed=427324; Reward = 1; Floor=2
Episode 491: Seed=708036; Reward = -36; Floor=1
Episode 492: Seed=915860; Reward = 182; Floor=5
Episode 493: Seed=771325; Reward = 124; Floor=3
Episode 494: Seed=314391; Reward = -41; Floor=1
Episode 495: Seed=212288; Reward = 247; Floor=6
Episode 496: Seed=799648; Reward = 243; Floor=6
Episode 497: Seed=230897; Reward = 122; Floor=4
Episode 498: Seed=79600; Reward = 32; Floor=1
Episode 499: Seed=798549; Reward = 329; Floor=8
Episode 500: Seed=599705; Reward = -22; Floor=1
